group,national_team,squad_number,position,player,birth_date,age,caps,goals,professional_club,professional_club_country,professional_club_logo_url,fifpro_world11_apps,fifpro_world11_years,all_star_source,contract_source,contract_start,contract_end,salary,salary_currency,source_url,retrieved_at_utc
A,Czech Republic,1,GK,Matěj Kovář,2000-05-17,26,20,0,PSV Eindhoven,the Netherlands,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/PSV_Eindhoven.svg/250px-PSV_Eindhoven.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,2,DF,David Zima,2000-11-08,25,25,1,Slavia Prague,the Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/SK_Slavia_Praha_full_logo.svg/250px-SK_Slavia_Praha_full_logo.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,3,DF,Tomáš Holeš,1993-03-31,33,41,2,Slavia Prague,the Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/SK_Slavia_Praha_full_logo.svg/250px-SK_Slavia_Praha_full_logo.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,4,DF,Robin Hranáč,2000-01-29,26,14,1,TSG Hoffenheim,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/250px-Logo_TSG_Hoffenheim.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,5,DF,Vladimír Coufal,1992-08-22,33,62,2,TSG Hoffenheim,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/250px-Logo_TSG_Hoffenheim.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,6,DF,Štěpán Chaloupek,2003-03-08,23,5,0,Slavia Prague,the Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/SK_Slavia_Praha_full_logo.svg/250px-SK_Slavia_Praha_full_logo.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,7,DF,Ladislav Krejčí,1999-04-20,27,27,5,Wolverhampton Wanderers,England,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/250px-Wolverhampton_Wanderers_FC_crest.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,8,MF,Vladimír Darida,1990-08-08,35,79,8,Hradec Králové,the Czech Republic,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/FC_Hradec_Kralove.png/250px-FC_Hradec_Kralove.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,9,FW,Adam Hložek,2002-07-25,23,43,5,TSG Hoffenheim,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/250px-Logo_TSG_Hoffenheim.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
A,Czech Republic,10,FW,Patrik Schick,1996-01-24,30,53,26,Bayer Leverkusen,Germany,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/250px-Bayer_04_Leverkusen_logo.svg.png,0,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11T04:21:10+00:00
