team,group,formation,starter_order,lineup_role,shirt_number,player_name,source_url
Czechia,A,3-4-2-1,1,GK,1,Kovár,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,2,DEF,6,Chaloupek,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,3,DEF,5,Coufal,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,4,DEF,4,Hranác,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,5,DEF,7,Krejcí,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,6,MID,8,Darida,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,7,MID,14,Jurásek,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,8,MID,22,Soucek,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,9,ATT,17,Provod,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,10,ATT,10,Schick,https://mylineups.app/world-cup-2026/teams/czechia
Czechia,A,3-4-2-1,11,ATT,15,Sulc,https://mylineups.app/world-cup-2026/teams/czechia
Mexico,A,4-1-4-1,1,GK,1,Rangel,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,2,DEF,23,Gallardo,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,3,DEF,6,Lira,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,4,DEF,3,Montes,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,5,DEF,2,Sánchez,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,6,DEF,5,Vásquez,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,7,MID,25,Alvarado,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,8,MID,8,Fidalgo,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,9,MID,19,Mora,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,10,ATT,9,Jiménez,https://mylineups.app/world-cup-2026/teams/mexico
Mexico,A,4-1-4-1,11,ATT,16,Quiñones,https://mylineups.app/world-cup-2026/teams/mexico
South Africa,A,4-2-3-1,1,GK,1,Williams,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,2,DEF,14,Mbokazi,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,3,DEF,6,Modiba,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,4,DEF,20,Mudau,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,5,DEF,21,Okon,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,6,MID,5,Mbatha,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,7,MID,4,Mokoena,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,8,ATT,7,Appollis,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,9,ATT,9,Foster,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,10,ATT,10,Mofokeng,https://mylineups.app/world-cup-2026/teams/south-africa
South Africa,A,4-2-3-1,11,ATT,8,Moremi,https://mylineups.app/world-cup-2026/teams/south-africa
